,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
30,-302.5709817,-181.6618757,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453,-5.580727453
31,-499.7700821,-178.4787959,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934,-6.087739934
32,-436.9825336,-133.0043447,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418,-5.803976418
33,-375.0665201,-116.3552699,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632,-5.659710632
34,-329.5429181,-100.4221868,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463,-6.414060463
35,-278.7222244,-84.97206348,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372,-5.37351372
36,-271.6561848,-81.98039517,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468,-4.875409468
37,-276.0982919,-72.89044125,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401,-4.755251401
38,-281.3145785,-68.69411033,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955,-4.67935955
39,-278.4033378,-61.24510587,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714,-4.328944714
40,-239.4529669,-60.10776083,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776,-4.334507776
41,-285.647272,-64.56966339,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363,-5.213984363
42,-401.8799996,-74.76919287,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164,-4.349029164
43,-334.8932233,-80.18744605,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691,-4.109582691
44,-325.3544074,-87.43819274,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381,-3.987325381
45,-413.9428334,-84.6115644,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767,-3.975449767
46,-345.3684942,-0.860403743,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671,-4.150607671
47,-261.4574687,-0.0156,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432,-4.241247432
48,-130.7330438,-0.86035156,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694,-4.449960694
49,-101.3758936,-0.0156,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911,-4.558291911
50,-98.8154171,-0.860348017,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815,-4.648833815
51,-97.25655647,-0.0156,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242,-4.719175242
52,-121.7968354,-0.860349506,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074,-4.772824074
53,-189.2345244,-0.0156,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481,-4.984964481
54,-301.6849995,-117.7802093,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441,-5.858801441
55,-499.04474,-113.9380863,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185,-6.037422185
56,-436.4460707,-83.66073399,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331,-5.746219331
57,-379.6375564,-76.92127968,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109,-5.727707109
58,-342.696874,-69.20506296,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339,-6.614095339
59,-305.424067,-69.25075433,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526,-5.910226526
60,-309.3687069,-74.24748271,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346,-5.660234346
61,-310.2257594,-62.29969877,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077,-5.308356077
62,-310.9998397,-61.38180037,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591,-5.334147591
63,-315.5293418,-62.76736257,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266,-5.347687266
64,-282.3829914,-67.01350363,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582,-5.45278582
65,-337.0142691,-72.91992217,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302,-6.711534302
66,-462.9176607,-86.75557134,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675,-6.027339675
67,-396.7311773,-91.19554948,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747,-5.812321747
68,-384.7390563,-100.2161441,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589,-5.781951589
69,-477.1328313,-102.5082706,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069,-5.803202069
70,-408.8965969,-0.860433782,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096,-5.910821096
71,-323.5627012,-0.0156,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427,-6.026990427
72,-135.7005615,-0.86035147,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648,-6.305605648
73,-110.8666683,-0.0156,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304,-6.516233304
74,-108.6281553,-6.782618423,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992,-6.707075992
