,commercial
1380,-104.2294763
1381,-112.1823329
1382,-121.1708281
1383,-117.1450192
1384,-123.1021666
1385,-148.9077215
1386,-190.9415955
1387,-189.0728279
1388,-206.098891
1389,-241.3220639
1390,-190.9033325
1391,-191.0254798
1392,-174.8112875
1393,-128.0895992
1394,-108.0429023
1395,-93.53044201
1396,-97.76587301
1397,-120.734216
1398,-189.5958902
1399,-249.3316779
1400,-188.957408
1401,-163.9912645
1402,-145.3278357
1403,-158.6104725
1404,-176.9232431
1405,-190.9691606
1406,-216.3408941
1407,-156.3304528
1408,-137.9535331
1409,-158.045837
1410,-198.1264838
1411,-200.3512502
1412,-218.8261651
1413,-254.3810333
1414,-224.5259853
1415,-211.5229972
1416,-153.153503
1417,-125.2919777
1418,-112.7449985
1419,-107.09915
1420,-108.7294115
1421,-128.857921
1422,-197.8785577
1423,-259.0680844
1424,-210.8605039
1425,-191.2927315
1426,-163.9992677
1427,-166.4084836
1428,-146.1520994
1429,-173.287676
1430,-211.2938745
1431,-223.769483
1432,-202.8247363
1433,-205.7732784
1434,-237.9053632
1435,-231.0385823
1436,-248.9714172
1437,-263.9160385
1438,-219.38011
1439,-151.0879389
1440,-124.2813006
1441,-108.076773
1442,-99.72372791
1443,-94.51560143
1444,-95.40048787
1445,-117.9911816
1446,-189.6945834
1447,-251.7314457
1448,-199.428016
1449,-198.5577982
1450,-214.5691626
1451,-244.5167679
1452,-265.3315665
1453,-266.6912027
1454,-267.0445313
1455,-268.5014488
1456,-240.4096855
1457,-240.1618843
1458,-261.6427465
1459,-254.8045584
1460,-267.1149952
1461,-265.3209303
1462,-232.9533658
1463,-162.2051841
1464,-136.7947539
1465,-123.9387931
1466,-115.2180612
1467,-109.0591238
1468,-112.2126253
1469,-133.3742372
1470,-199.317547
1471,-259.4047979
1472,-195.1497427
1473,-151.4734411
1474,-114.1740749
1475,-109.600616
1476,-109.5784256
1477,-109.2386001
1478,-108.3203174
1479,-99.19299722
1480,-105.0855848
1481,-141.2865595
1482,-186.1124544
1483,-185.3858075
1484,-203.5496374
1485,-240.4598821
1486,-194.1604334
1487,-137.6891661
1488,-115.6215391
1489,-103.3006472
1490,-96.31914859
1491,-79.36810389
1492,-84.76294505
1493,-101.2055755
1494,-126.6834638
1495,-191.5244321
1496,-260.7064111
1497,-228.8943997
1498,-172.7124038
1499,-167.5144339
1500,-191.2995704
1501,-157.5126501
1502,-150.1033604
1503,-141.109947
1504,-137.5662931
1505,-149.4736205
1506,-173.2521541
1507,-206.3856908
1508,-227.128864
1509,-227.7833305
